,team_id,team_name,position,player_id_x,gsis_id,first_name,last_name,player_id_y,fantasy_points_ppr,ppr_sh
54,1008,Defending Champs,RB,1113,00-0032918,C.J.,Ham,00-0032918,10.200000000000001,0.019299905392620626
55,1008,Defending Champs,RB,1116,00-0032975,Jonathan,Williams,00-0032975,-0.2,-0.0023110700254217703
56,1009,Team Generic,QB,1019,00-0028118,Tyrod,Taylor,00-0028118,87.34,0.13339646271802547
57,1009,Team Generic,K,1035,00-0030098,Dustin,Hopkins,,,
58,1009,Team Generic,WR,1062,00-0031428,Allen,Robinson,00-0031428,62.0,0.05937332414004443
59,1009,Team Generic,WR,1066,00-0031544,Amari,Cooper,00-0031544,227.0,0.18536059576691927
60,1009,Team Generic,TE,1072,00-0031610,Darren,Waller,00-0031610,113.2,0.13655006031363087
61,1009,Team Generic,RB,1121,00-0033045,Ezekiel,Elliott,00-0033045,174.5,0.15091500328640123
62,1009,Team Generic,RB,1126,00-0033118,Kenyan,Drake,00-0033118,3.1,0.018273991983022875
63,1010,Fumblerooski,QB,1020,00-0028986,Case,Keenum,00-0028986,9.74,0.05846338535414165
64,1010,Fumblerooski,K,1037,00-0030332,Brett,Maher,,,
65,1010,Fumblerooski,WR,1067,00-0031547,DeVante,Parker,00-0031547,72.4,0.0885908668200284
66,1010,Fumblerooski,WR,1068,00-0031549,Nelson,Agholor,00-0031549,97.1,0.06606430894419572
67,1010,Fumblerooski,TE,1074,00-0031690,Eric,Tomlinson,,,
68,1010,Fumblerooski,RB,1133,00-0033280,Christian,McCaffrey,00-0033280,391.3,0.24506488301017085
69,1010,Fumblerooski,RB,1137,00-0033293,Aaron,Jones,00-0033293,134.9,0.1332214102310883
70,1011,Double Option,QB,1023,00-0029263,Russell,Wilson,00-0029263,256.90000000000003,0.21865690697080603
71,1011,Double Option,K,1048,00-0031136,Chris,Boswell,,,
72,1011,Double Option,WR,1070,00-0031588,Stefon,Diggs,00-0031588,273.8,0.17144216801082002
73,1011,Double Option,WR,1075,00-0031763,DeAndre,Carter,00-0031763,9.700000000000001,0.016251172765044904
74,1011,Double Option,TE,1081,00-0032062,Blake,Bell,00-0032062,11.6,0.023155541360587673
75,1011,Double Option,RB,1138,00-0033296,Alex,Armah,00-0033296,4.3,0.01436013892599519
76,1011,Double Option,RB,1141,00-0033308,Matt,Breida,00-0033308,46.9,0.04800704239769074
77,1012,Wicked Awesome,QB,1027,00-0029604,Kirk,Cousins,00-0029604,149.74,0.19518744460086554
78,1012,Wicked Awesome,K,1049,00-0031203,Cairo,Santos,,,
79,1012,Wicked Awesome,WR,1077,00-0031868,Damiere,Byrd,00-0031868,0.0,0.0
80,1012,Wicked Awesome,WR,1078,00-0031941,Jamison,Crowder,00-0031941,37.900000000000006,0.056328399025028245
81,1012,Wicked Awesome,TE,1084,00-0032134,C.J.,Uzomah,00-0032134,19.8,0.04105158401061536
82,1012,Wicked Awesome,RB,1145,00-0033376,Patrick,Ricard,00-0033376,16.2,0.026832742571305527
83,1012,Wicked Awesome,RB,1153,00-0033526,Samaje,Perine,00-0033526,121.30000000000001,0.0916689338290862
